tvec_x_error;tvec_y_error;tvec_z_error;rvec_x_error;rvec_y_error;rvec_z_error
-15.2508;-23.5806;160.055;-0.258175;-0.303905;3.12188
-14.9386;-23.7188;159.078;-0.349309;-0.220418;3.11522
-14.7736;-24.1472;158.824;-0.345466;-0.281727;3.11438
-14.4826;-24.3645;156.793;-0.41284;-0.355814;3.10234
-14.8813;-25.0568;161.058;-0.348468;-0.186048;3.12485
-14.2022;-25.0274;159.115;-0.445163;-0.294411;3.10779
-14.1627;-25.1506;159.419;-0.338229;-0.326736;3.13028
-14.0758;-24.6937;158.98;-0.330343;-0.310858;3.12656
-13.8962;-24.5414;157.675;-0.378769;-0.265854;3.10999
-14.3703;-24.7329;160.261;-0.276393;-0.200539;3.11676
-14.5846;-24.3678;157.276;-0.313058;-0.454685;3.10284
-15.2385;-24.1393;157.25;-0.417351;-0.235166;3.10547
